TimeID,Timestamp,Hour,Day,Month,Year,Weekday
227,2024-08-14,20,14,8,2024,Wednesday
228,2024-08-15,15,15,8,2024,Thursday
229,2024-08-16,19,16,8,2024,Friday
230,2024-08-17,23,17,8,2024,Saturday
231,2024-08-18,7,18,8,2024,Sunday
232,2024-08-19,6,19,8,2024,Monday
233,2024-08-20,2,20,8,2024,Tuesday
234,2024-08-21,16,21,8,2024,Wednesday
235,2024-08-22,0,22,8,2024,Thursday
236,2024-08-23,15,23,8,2024,Friday
237,2024-08-24,11,24,8,2024,Saturday
238,2024-08-25,18,25,8,2024,Sunday
239,2024-08-26,21,26,8,2024,Monday
240,2024-08-27,22,27,8,2024,Tuesday
241,2024-08-28,21,28,8,2024,Wednesday
242,2024-08-29,13,29,8,2024,Thursday
243,2024-08-30,5,30,8,2024,Friday
244,2024-08-31,5,31,8,2024,Saturday
245,2024-09-01,12,1,9,2024,Sunday
246,2024-09-02,18,2,9,2024,Monday
247,2024-09-03,21,3,9,2024,Tuesday
248,2024-09-04,7,4,9,2024,Wednesday
249,2024-09-05,1,5,9,2024,Thursday
250,2024-09-06,20,6,9,2024,Friday
251,2024-09-07,0,7,9,2024,Saturday
252,2024-09-08,14,8,9,2024,Sunday
253,2024-09-09,0,9,9,2024,Monday
254,2024-09-10,4,10,9,2024,Tuesday
255,2024-09-11,15,11,9,2024,Wednesday
256,2024-09-12,18,12,9,2024,Thursday
257,2024-09-13,3,13,9,2024,Friday
258,2024-09-14,2,14,9,2024,Saturday
259,2024-09-15,16,15,9,2024,Sunday
260,2024-09-16,16,16,9,2024,Monday
261,2024-09-17,11,17,9,2024,Tuesday
262,2024-09-18,13,18,9,2024,Wednesday
263,2024-09-19,20,19,9,2024,Thursday
264,2024-09-20,5,20,9,2024,Friday
265,2024-09-21,2,21,9,2024,Saturday
266,2024-09-22,8,22,9,2024,Sunday
267,2024-09-23,4,23,9,2024,Monday
268,2024-09-24,23,24,9,2024,Tuesday
269,2024-09-25,16,25,9,2024,Wednesday
270,2024-09-26,13,26,9,2024,Thursday
271,2024-09-27,20,27,9,2024,Friday
272,2024-09-28,2,28,9,2024,Saturday
273,2024-09-29,0,29,9,2024,Sunday
274,2024-09-30,19,30,9,2024,Monday
275,2024-10-01,20,1,10,2024,Tuesday
276,2024-10-02,22,2,10,2024,Wednesday
277,2024-10-03,0,3,10,2024,Thursday
278,2024-10-04,2,4,10,2024,Friday
279,2024-10-05,17,5,10,2024,Saturday
280,2024-10-06,9,6,10,2024,Sunday
281,2024-10-07,21,7,10,2024,Monday
282,2024-10-08,2,8,10,2024,Tuesday
283,2024-10-09,7,9,10,2024,Wednesday
284,2024-10-10,13,10,10,2024,Thursday
285,2024-10-11,23,11,10,2024,Friday
286,2024-10-12,17,12,10,2024,Saturday
287,2024-10-13,14,13,10,2024,Sunday
288,2024-10-14,21,14,10,2024,Monday
289,2024-10-15,22,15,10,2024,Tuesday
290,2024-10-16,1,16,10,2024,Wednesday
291,2024-10-17,9,17,10,2024,Thursday
292,2024-10-18,1,18,10,2024,Friday
293,2024-10-19,16,19,10,2024,Saturday
294,2024-10-20,7,20,10,2024,Sunday
295,2024-10-21,0,21,10,2024,Monday
296,2024-10-22,8,22,10,2024,Tuesday
297,2024-10-23,10,23,10,2024,Wednesday
298,2024-10-24,21,24,10,2024,Thursday
299,2024-10-25,15,25,10,2024,Friday
300,2024-10-26,6,26,10,2024,Saturday
301,2024-10-27,9,27,10,2024,Sunday
302,2024-10-28,22,28,10,2024,Monday
303,2024-10-29,2,29,10,2024,Tuesday
304,2024-10-30,17,30,10,2024,Wednesday
305,2024-10-31,23,31,10,2024,Thursday
306,2024-11-01,12,1,11,2024,Friday
307,2024-11-02,6,2,11,2024,Saturday
308,2024-11-03,3,3,11,2024,Sunday
309,2024-11-04,12,4,11,2024,Monday
310,2024-11-05,19,5,11,2024,Tuesday
311,2024-11-06,0,6,11,2024,Wednesday
312,2024-11-07,7,7,11,2024,Thursday
313,2024-11-08,13,8,11,2024,Friday
314,2024-11-09,15,9,11,2024,Saturday
315,2024-11-10,13,10,11,2024,Sunday
316,2024-11-11,11,11,11,2024,Monday
317,2024-11-12,18,12,11,2024,Tuesday
318,2024-11-13,22,13,11,2024,Wednesday
319,2024-11-14,14,14,11,2024,Thursday
320,2024-11-15,1,15,11,2024,Friday
321,2024-11-16,1,16,11,2024,Saturday
322,2024-11-17,22,17,11,2024,Sunday
323,2024-11-18,21,18,11,2024,Monday
324,2024-11-19,18,19,11,2024,Tuesday
325,2024-11-20,21,20,11,2024,Wednesday
326,2024-11-21,21,21,11,2024,Thursday
327,2024-11-22,16,22,11,2024,Friday
328,2024-11-23,19,23,11,2024,Saturday
329,2024-11-24,9,24,11,2024,Sunday
330,2024-11-25,5,25,11,2024,Monday
331,2024-11-26,14,26,11,2024,Tuesday
332,2024-11-27,21,27,11,2024,Wednesday
333,2024-11-28,10,28,11,2024,Thursday
334,2024-11-29,4,29,11,2024,Friday
335,2024-11-30,0,30,11,2024,Saturday
336,2024-12-01,7,1,12,2024,Sunday
337,2024-12-02,20,2,12,2024,Monday
338,2024-12-03,11,3,12,2024,Tuesday
339,2024-12-04,11,4,12,2024,Wednesday
340,2024-12-05,4,5,12,2024,Thursday
341,2024-12-06,6,6,12,2024,Friday
342,2024-12-07,3,7,12,2024,Saturday
343,2024-12-08,5,8,12,2024,Sunday
344,2024-12-09,12,9,12,2024,Monday
345,2024-12-10,19,10,12,2024,Tuesday
346,2024-12-11,14,11,12,2024,Wednesday
347,2024-12-12,2,12,12,2024,Thursday
348,2024-12-13,22,13,12,2024,Friday
349,2024-12-14,7,14,12,2024,Saturday
350,2024-12-15,19,15,12,2024,Sunday
351,2024-12-16,15,16,12,2024,Monday
352,2024-12-17,12,17,12,2024,Tuesday
353,2024-12-18,17,18,12,2024,Wednesday
354,2024-12-19,9,19,12,2024,Thursday
355,2024-12-20,18,20,12,2024,Friday
356,2024-12-21,16,21,12,2024,Saturday
357,2024-12-22,23,22,12,2024,Sunday
358,2024-12-23,18,23,12,2024,Monday
359,2024-12-24,22,24,12,2024,Tuesday
360,2024-12-25,4,25,12,2024,Wednesday
361,2024-12-26,20,26,12,2024,Thursday
362,2024-12-27,22,27,12,2024,Friday
363,2024-12-28,8,28,12,2024,Saturday
364,2024-12-29,11,29,12,2024,Sunday
365,2024-12-30,20,30,12,2024,Monday
